id,t,on
23,75,True
23,76,True
23,77,True
23,78,True
23,79,True
23,80,False
23,81,False
23,82,False
23,83,False
23,84,False
23,85,False
23,86,False
23,87,False
23,88,False
23,89,False
23,90,False
23,91,False
23,92,False
23,93,False
23,94,False
23,95,False
23,96,False
23,97,False
23,98,False
23,99,False
23,100,False
23,101,False
23,102,False
23,103,False
23,104,False
23,105,False
23,106,False
23,107,False
23,108,False
23,109,False
23,110,False
23,111,False
23,112,False
23,113,False
23,114,False
23,115,False
23,116,False
23,117,False
23,118,False
23,119,False
23,120,False
23,121,False
24,0,False
24,1,False
24,2,False
24,3,False
24,4,False
24,5,False
24,6,False
24,7,False
24,8,False
24,9,False
24,10,False
24,11,False
24,12,False
24,13,False
24,14,False
24,15,False
24,16,False
24,17,False
24,18,False
24,19,False
24,20,False
24,21,False
24,22,False
24,23,False
24,24,False
24,25,False
24,26,False
24,27,False
24,28,False
24,29,False
24,30,False
24,31,False
24,32,False
24,33,False
24,34,False
24,35,False
24,36,False
24,37,False
24,38,False
24,39,False
24,40,False
24,41,False
24,42,False
24,43,False
24,44,False
24,45,False
24,46,False
24,47,False
24,48,False
24,49,False
24,50,False
24,51,False
24,52,False
24,53,True
24,54,True
24,55,True
24,56,True
24,57,True
24,58,True
24,59,True
24,60,True
24,61,True
24,62,True
24,63,True
24,64,False
24,65,False
24,66,False
24,67,False
24,68,False
24,69,False
24,70,False
24,71,False
24,72,False
24,73,False
24,74,False
24,75,False
24,76,False
24,77,False
24,78,False
24,79,False
24,80,False
24,81,False
24,82,False
24,83,False
24,84,False
24,85,True
24,86,True
24,87,True
24,88,True
24,89,True
24,90,True
24,91,True
24,92,True
24,93,True
24,94,True
24,95,True
24,96,False
24,97,False
24,98,False
24,99,False
24,100,False
24,101,False
24,102,False
24,103,False
24,104,False
24,105,False
24,106,False
24,107,False
24,108,False
24,109,False
24,110,False
24,111,False
24,112,False
24,113,False
24,114,False
24,115,False
24,116,False
24,117,False
24,118,False
24,119,False
24,120,False
24,121,False
